iter	Passed	Remaining
195	16498	109763
196	16574	109624
197	16648	109478
198	16718	109299
199	16794	109166
200	16865	108994
201	16947	108902
202	17024	108772
203	17095	108608
204	17174	108493
205	17249	108350
206	17328	108242
207	17405	108112
208	17480	107980
209	17557	107853
210	17630	107705
211	17705	107567
212	17777	107414
213	17909	107623
214	17987	107506
215	18063	107376
216	18137	107236
217	18204	107053
218	18281	106934
219	18355	106792
220	18431	106670
221	18507	106545
222	18582	106412
223	18658	106288
224	18732	106148
225	18805	106011
226	18876	105859
227	18955	105750
228	19026	105603
229	19102	105478
230	19177	105349
231	19251	105217
232	19326	105092
233	19404	104982
234	19478	104853
235	19552	104721
236	19627	104599
237	19706	104495
238	19799	104464
239	19875	104347
240	19950	104220
241	20026	104107
242	20106	104006
243	20179	103877
244	20254	103751
245	20331	103640
246	20401	103495
247	20476	103371
248	20554	103268
249	20629	103149
250	20702	103016
251	20780	102910
252	20854	102788
253	20930	102677
254	21007	102564
255	21083	102451
256	21159	102339
257	21239	102246
258	21314	102128
259	21391	102023
260	21462	101884
261	21536	101762
262	21612	101651
263	21688	101542
264	21765	101435
265	21843	101334
266	21920	101228
267	21995	101115
268	22079	101041
269	22155	100931
270	22228	100807
271	22306	100707
272	22379	100584
273	22453	100468
274	22527	100347
275	22607	100258
276	22682	100146
277	22758	100039
278	22832	99922
279	22906	99804
280	22984	99706
281	23061	99606
282	23141	99518
283	23220	99422
284	23293	99305
285	23372	99209
286	23448	99105
287	23522	98988
288	23596	98877
289	23670	98764
290	23762	98725
291	23841	98632
292	23917	98526
293	23992	98419
294	24066	98304
295	24143	98203
296	24216	98087
297	24286	97961
298	24360	97847
299	24439	97756
300	24520	97672
301	24592	97556
302	24668	97453
303	24739	97328
304	24814	97223
305	24894	97137
306	24970	97036
307	25051	96953
308	25126	96847
309	25201	96741
310	25273	96625
311	25348	96519
312	25421	96407
313	25504	96331
314	25581	96234
315	25657	96132
316	25735	96039
317	25808	95928
318	25884	95830
319	25960	95728
320	26029	95604
321	26105	95503
322	26184	95414
323	26259	95313
324	26355	95284
325	26438	95211
326	26512	95104
327	26589	95007
328	26665	94911
329	26744	94820
330	26823	94731
331	26897	94626
332	26970	94518
333	27042	94406
334	27108	94274
335	27191	94200
336	27267	94099
337	27340	93993
338	27416	93893
339	27497	93815
340	27583	93751
341	27665	93673
342	27741	93578
343	27820	93490
344	27900	93407
345	27979	93318
346	28057	93228
347	28137	93143
348	28216	93057
349	28296	92975
350	28372	92877
351	28445	92771
352	28519	92667
353	28597	92577
354	28675	92488
355	28754	92402
356	28829	92301
357	28903	92201
358	28974	92088
359	29053	92002
360	29126	91898
361	29200	91796
362	29278	91706
363	29357	91619
364	29433	91527
365	29511	91438
366	29590	91351
367	29667	91259
368	29747	91178
369	29829	91099
370	29900	90989
371	29973	90888
372	30056	90813
373	30131	90717
374	30216	90648
375	30290	90550
376	30368	90459
377	30444	90367
378	30516	90260
379	30591	90165
380	30666	90068
381	30744	89978
382	30820	89887
383	30899	89800
384	30974	89706
385	31048	89605
386	31121	89505
387	31199	89417
388	31277	89329
389	31350	89227
390	31425	89132
391	31500	89037
392	31579	88953
393	31660	88875
394	31735	88779
395	31811	88687
396	31884	88586
397	31957	88484
398	32031	88387
399	32106	88294
400	32186	88212
401	32263	88123
402	32337	88026
403	32411	87929
404	32487	87837
405	32568	87759
406	32649	87679
407	32745	87643
408	32838	87596
409	32925	87533
410	33005	87453
411	33097	87403
412	33199	87378
413	33294	87337
414	33396	87314
415	33500	87293
416	33605	87276
417	33805	87505
418	33902	87465
419	33994	87414
420	34093	87380
421	34191	87341
422	34294	87318
423	34391	87276
424	34494	87251
425	34596	87222
426	34688	87167
427	34790	87139
428	34884	87090
429	34990	87068
430	35093	87040
431	35189	86995
432	35298	86981
433	35392	86933
434	35491	86892
435	35588	86849
436	35681	86794
437	35794	86788
438	35893	86748
439	35994	86714
440	36096	86681
441	36196	86642
442	36298	86609
443	36393	86558
444	36493	86518
445	36595	86483
446	36683	86414
447	36791	86393
448	36880	86329
449	36971	86267
450	37060	86201
451	37154	86146
452	37252	86099
453	37336	86020
454	37423	85950
455	37506	85869
456	37597	85808
457	37684	85736
458	37780	85685
459	37868	85614
460	37957	85547
461	38044	85476
462	38140	85424
463	38224	85346
464	38309	85269
465	38394	85193
466	38466	85088
467	38542	84992
468	38615	84887
469	38693	84795
470	38775	84712
471	38850	84614
472	38929	84524
473	39004	84427
474	39082	84335
475	39162	84247
476	39240	84156
477	39317	84063
478	39389	83960
479	39467	83869
480	39543	83773
481	39618	83676
482	39691	83573
483	39769	83483
484	39847	83391
485	39921	83293
486	40005	83215
487	40081	83120
488	40157	83025
489	40236	82936
490	40312	82841
491	40387	82745
492	40462	82648
493	40540	82558
494	40613	82458
495	40691	82366
496	40769	82277
497	40847	82187
498	40927	82100
499	41007	82014
500	41083	81921
501	41160	81830
502	41238	81739
503	41311	81640
504	41392	81555
505	41468	81462
506	41539	81358
507	41619	81272
508	41695	81178
509	41771	81085
510	41849	80997
511	41923	80899
512	41998	80803
513	42079	80721
514	42157	80631
515	42228	80528
516	42304	80436
517	42380	80342
518	42458	80253
519	42551	80193
520	42635	80115
521	42775	80143
522	42860	80066
523	42936	79974
524	43014	79883
525	43088	79788
526	43163	79692
527	43236	79595
528	43317	79511
529	43388	79408
530	43466	79320
531	43542	79228
532	43616	79132
533	43692	79039
534	43772	78954
535	43851	78867
536	43927	78774
537	44001	78678
538	44075	78583
539	44151	78491
540	44226	78397
541	44303	78307
542	44382	78220
543	44457	78127
544	44534	78038
545	44613	77950
546	44684	77850
547	44764	77765
548	44840	77674
549	44914	77580
550	44984	77477
551	45061	77387
552	45146	77312
553	45222	77221
554	45306	77143
555	45382	77052
556	45461	76965
557	45542	76884
558	45618	76791
559	45699	76710
560	45784	76634
561	45859	76541
562	45936	76451
563	46017	76369
564	46097	76284
565	46173	76193
566	46252	76108
567	46329	76019
568	46402	75924
569	46479	75834
570	46558	75748
571	46632	75655
572	46711	75569
573	46789	75482
574	46865	75391
575	46939	75298
576	47013	75204
577	47084	75106
578	47155	75009
579	47234	74923
580	47312	74836
581	47387	74744
582	47466	74660
583	47543	74571
584	47622	74485
585	47697	74395
586	47774	74306
587	47852	74220
588	47928	74129
589	48005	74042
590	48088	73963
591	48166	73877
592	48242	73787
593	48317	73696
594	48394	73607
595	48471	73520
596	48552	73438
597	48625	73344
598	48695	73245
599	48770	73155
600	48849	73071
601	48927	72984
602	49005	72898
603	49081	72809
604	49152	72713
605	49227	72622
606	49303	72534
607	49374	72437
608	49449	72347
609	49528	72263
610	49606	72176
611	49690	72099
612	49764	72008
613	49837	71915
614	49920	71836
615	49992	71742
616	50069	71654
617	50148	71570
618	50219	71475
619	50295	71386
620	50372	71299
621	50450	71213
622	50521	71119
623	50596	71029
624	50677	70948
625	50751	70857
626	50830	70773
627	50905	70683
628	50983	70598
629	51060	70512
630	51140	70430
631	51216	70341
632	51286	70245
633	51379	70180
634	51451	70087
635	51530	70003
636	51600	69908
637	51674	69817
638	51748	69726
639	51822	69636
640	51898	69548
641	51969	69454
642	52048	69371
643	52122	69280
644	52199	69194
645	52281	69115
646	52354	69024
647	52427	68932
648	52500	68841
649	52570	68745
650	52649	68662
651	52730	68582
652	52803	68491
653	52875	68398
654	52957	68318
655	53033	68232
656	53119	68157
657	53196	68072
658	53271	67984
659	53353	67904
660	53427	67815
661	53500	67723
662	53574	67635
663	53654	67552
664	53729	67464
665	53808	67382
666	53885	67295
667	53963	67212
668	54037	67122
669	54116	67040
670	54193	66954
671	54270	66868
672	54339	66773
673	54414	66685
674	54491	66600
675	54567	66514
676	54643	66428
677	54723	66346
678	54791	66249
679	54865	66161
680	54941	66074
681	55011	65981
682	55087	65894
683	55161	65806
684	55241	65725
685	55312	65633
686	55386	65545
687	55460	65456
688	55535	65368
689	55613	65285
690	55682	65191
691	55753	65099
692	55831	65016
693	55932	64958
694	56013	64878
695	56093	64797
696	56174	64717
697	56250	64632
698	56325	64544
699	56394	64450
700	56468	64362
701	56548	64282
702	56623	64195
703	56701	64110
704	56781	64029
705	56861	63948
706	56938	63865
707	57017	63782
708	57091	63694
709	57160	63600
710	57235	63514
711	57315	63433
712	57387	63343
713	57454	63248
714	57523	63155
715	57594	63064
716	57674	62983
717	57755	62903
718	57827	62814
719	57902	62727
720	57969	62632
721	58044	62546
722	58119	62460
723	58197	62377
724	58274	62293
725	58350	62208
726	58432	62129
727	58509	62045
728	58586	61961
729	58661	61875
730	58736	61789
731	58808	61700
732	58876	61606
733	58949	61519
734	59023	61432
735	59097	61346
736	59173	61261
737	59256	61183
738	59332	61098
739	59400	61006
740	59473	60918
741	59550	60835
742	59626	60750
743	59708	60671
744	59786	60589
745	59856	60498
746	59935	60417
747	60013	60334
748	60085	60246
749	60162	60162
750	60243	60083
751	60322	60001
752	60406	59925
753	60474	59832
754	60553	59751
755	60623	59661
756	60703	59581
757	60775	59492
758	60849	59406
759	60926	59323
760	61001	59237
761	61077	59153
762	61156	59072
763	61234	58990
764	61311	58907
765	61386	58821
766	61455	58730
767	61534	58650
768	61608	58564
769	61685	58481
770	61759	58394
771	61833	58309
772	61905	58221
773	61975	58132
774	62052	58048
775	62125	57962
776	62205	57882
777	62276	57794
778	62350	57708
779	62429	57627
780	62507	57545
781	62580	57458
782	62653	57372
783	62735	57294
784	62808	57207
785	62888	57128
786	62965	57044
787	63034	56955
788	63108	56869
789	63187	56789
790	63269	56710
791	63340	56622
792	63416	56538
793	63494	56457
794	63565	56369
795	63642	56287
796	63718	56203
797	63785	56112
798	63863	56029
799	63938	55945
800	64015	55864
801	64091	55780
802	64161	55692
803	64241	55612
804	64318	55529
805	64393	55445
806	64474	55366
807	64548	55282
808	64621	55195
809	64696	55111
810	64769	55025
811	64837	54936
812	64907	54847
813	64987	54768
814	65115	54728
815	65195	54648
816	65269	54564
817	65343	54479
818	65432	54407
819	65500	54317
820	65578	54235
821	65654	54153
822	65727	54067
823	65805	53985
824	65880	53902
825	65956	53819
826	66028	53733
827	66107	53652
828	66185	53570
829	66253	53481
830	66327	53397
831	66403	53314
832	66477	53229
833	66552	53146
834	66629	53064
835	66704	52980
836	66774	52893
837	66846	52807
838	66917	52720
839	66992	52637
840	67055	52544
841	67131	52461
842	67209	52380
843	67285	52297
844	67365	52217
845	67432	52128
846	67509	52046
847	67585	51964
848	67661	51882
849	67740	51801
850	67820	51722
851	67891	51635
852	67964	51550
853	68039	51467
854	68121	51389
855	68196	51306
856	68272	51224
857	68345	51139
858	68416	51053
859	68484	50965
860	68559	50882
861	68640	50803
862	68713	50718
863	68793	50639
864	68865	50554
865	68943	50473
866	69018	50390
867	69089	50304
868	69164	50221
869	69244	50142
870	69320	50060
871	69394	49976
872	69471	49895
873	69552	49816
874	69623	49730
875	69699	49648
876	69777	49567
877	69857	49489
878	69935	49408
879	70012	49326
880	70132	49275
881	70231	49209
882	70311	49130
883	70390	49050
884	70468	48969
885	70547	48889
886	70632	48813
887	70706	48730
888	70785	48650
889	70863	48569
890	70941	48488
891	71011	48402
892	71090	48322
893	71171	48243
894	71246	48160
895	71325	48080
896	71401	47999
897	71477	47916
898	71549	47832
899	71622	47748
900	71698	47666
901	71771	47582
902	71847	47500
903	71921	47416
904	71993	47332
905	72068	47250
906	72143	47167
907	72222	47087
908	72294	47003
909	72370	46921
910	72443	46838
911	72518	46755
912	72595	46674
913	72677	46596
914	72755	46516
915	72824	46429
916	72898	46346
917	72973	46264
918	73050	46183
919	73120	46097
920	73195	46015
921	73273	45934
922	73349	45853
923	73422	45770
924	73494	45685
925	73564	45600
926	73656	45528
927	73731	45446
928	73810	45367
929	73882	45282
930	73951	45197
931	74023	45113
932	74102	45033
933	74173	44948
934	74247	44866
935	74321	44783
936	74397	44701
937	74477	44622
938	74557	44543
939	74635	44463
940	74706	44379
941	74782	44298
942	74857	44215
943	74926	44130
944	75001	44048
945	75083	43970
946	75159	43889
947	75236	43808
948	75313	43727
949	75389	43646
950	75462	43563
951	75540	43483
952	75613	43400
953	75693	43321
954	75761	43235
955	75835	43153
956	75908	43070
957	75975	42983
958	76050	42902
959	76126	42821
960	76209	42744
961	76294	42668
962	76375	42589
963	76451	42508
964	76529	42428
965	76603	42346
966	76678	42264
967	76756	42184
968	76832	42103
969	76910	42023
970	76985	41941
971	77065	41862
972	77143	41782
973	77217	41700
974	77292	41619
975	77364	41536
976	77438	41453
977	77518	41374
978	77593	41293
979	77664	41209
980	77739	41128
981	77820	41049
982	77894	40968
983	77974	40888
984	78042	40804
985	78115	40721
986	78191	40640
987	78270	40561
988	78346	40480
989	78425	40400
990	78494	40316
991	78572	40236
992	78647	40155
993	78723	40074
994	78796	39992
995	78869	39909
996	78945	39829
997	79020	39747
998	79097	39667
999	79175	39587
1000	79249	39506
1001	79321	39423
1002	79401	39344
1003	79478	39264
1004	79565	39188
1005	79637	39106
1006	79711	39024
1007	79779	38940
1008	79852	38858
1009	79924	38775
1010	80010	38699
1011	80084	38617
1012	80158	38536
1013	80239	38457
1014	80316	38377
1015	80388	38295
1016	80470	38217
1017	80549	38138
1018	80627	38058
1019	80707	37980
1020	80774	37895
1021	80843	37811
1022	80921	37731
1023	80996	37650
1024	81068	37568
1025	81147	37488
1026	81230	37412
1027	81305	37330
1028	81380	37250
1029	81451	37167
1030	81527	37086
1031	81608	37008
1032	81688	36929
1033	81764	36849
1034	81838	36768
1035	81915	36687
1036	81986	36605
1037	82061	36524
1038	82145	36447
1039	82211	36362
1040	82288	36282
1041	82367	36203
1042	82441	36122
1043	82518	36042
1044	82591	35960
1045	82666	35880
1046	82740	35799
1047	82817	35718
1048	82886	35635
1049	82960	35554
1050	83039	35475
1051	83109	35392
1052	83183	35311
1053	83266	35234
1054	83340	35153
1055	83419	35074
1056	83495	34993
1057	83573	34914
1058	83653	34835
1059	83727	34754
1060	83802	34674
1061	83878	34593
1062	83953	34513
1063	84034	34435
1064	84110	34355
1065	84189	34276
1066	84263	34195
1067	84344	34117
1068	84422	34037
1069	84498	33957
1070	84570	33875
1071	84648	33796
1072	84719	33714
1073	84793	33632
1074	84869	33553
1075	84948	33473
1076	85028	33395
1077	85101	33314
1078	85175	33233
1079	85250	33152
1080	85323	33071
1081	85388	32987
1082	85464	32907
1083	85531	32823
1084	85599	32740
1085	85675	32660
1086	85750	32580
1087	85829	32501
1088	85900	32419
1089	85975	32339
1090	86046	32257
1091	86119	32176
1092	86195	32096
1093	86265	32014
1094	86342	31934
1095	86418	31855
1096	86491	31773
1097	86569	31694
1098	86643	31614
1099	86714	31532
1100	86791	31453
1101	86867	31373
1102	86939	31292
1103	87071	31232
1104	87154	31154
1105	87239	31078
1106	87319	30999
1107	87388	30917
1108	87461	30836
1109	87535	30755
1110	87608	30674
1111	87688	30596
1112	87765	30516
1113	87843	30437
1114	87918	30357
1115	88008	30282
1116	88088	30203
1117	88162	30123
1118	88234	30042
1119	88314	29963
1120	88394	29885
1121	88463	29803
1122	88540	29723
1123	88613	29642
1124	88689	29563
1125	88765	29483
1126	88838	29402
1127	88914	29322
1128	88994	29244
1129	89070	29164
1130	89144	29084
1131	89218	29003
1132	89293	28923
1133	89372	28844
1134	89444	28764
1135	89517	28683
1136	89593	28603
1137	89666	28523
1138	89739	28442
1139	89809	28361
1140	89888	28282
1141	89965	28202
1142	90039	28122
1143	90113	28042
1144	90188	27962
1145	90266	27883
1146	90345	27804
1147	90421	27724
1148	90498	27645
1149	90571	27565
1150	90646	27485
1151	90720	27405
1152	90796	27325
1153	90872	27246
1154	90951	27167
1155	91028	27088
1156	91107	27009
1157	91185	26930
1158	91261	26850
1159	91333	26770
1160	91407	26689
1161	91487	26611
1162	91558	26530
1163	91631	26450
1164	91708	26371
1165	91781	26290
1166	91856	26210
1167	91934	26131
1168	92016	26054
1169	92090	25974
1170	92169	25895
1171	92244	25815
1172	92320	25736
1173	92400	25658
1174	92488	25581
1175	92567	25503
1176	92638	25422
1177	92715	25343
1178	92801	25266
1179	92878	25187
1180	92952	25107
1181	93030	25028
1182	93106	24949
1183	93179	24868
1184	93254	24789
1185	93332	24710
1186	93408	24630
1187	93482	24551
1188	93561	24472
1189	93635	24392
1190	93716	24314
1191	93794	24235
1192	93872	24156
1193	93948	24077
1194	94022	23997
1195	94098	23918
1196	94173	23838
1197	94289	23769
1198	94366	23689
1199	94453	23613
1200	94526	23533
1201	94603	23454
1202	94677	23374
1203	94750	23294
1204	94821	23213
1205	94903	23135
1206	94978	23056
1207	95053	22976
1208	95121	22895
1209	95198	22816
1210	95271	22736
1211	95349	22657
1212	95423	22577
1213	95502	22498
1214	95575	22418
1215	95652	22339
1216	95726	22260
1217	95806	22181
1218	95885	22103
1219	95962	22024
1220	96042	21945
1221	96116	21866
1222	96191	21786
1223	96268	21707
1224	96341	21627
1225	96422	21549
1226	96493	21469
1227	96572	21390
1228	96645	21310
1229	96722	21231
1230	96801	21153
1231	96875	21073
1232	96952	20994
1233	97028	20915
1234	97101	20835
1235	97180	20757
1236	97250	20676
1237	97324	20597
1238	97400	20517
1239	97478	20438
1240	97549	20358
1241	97621	20278
1242	97698	20199
1243	97777	20121
1244	97857	20043
1245	97932	19963
1246	98009	19884
1247	98080	19804
1248	98156	19725
1249	98227	19645
1250	98302	19566
1251	98380	19487
1252	98457	19408
1253	98535	19330
1254	98607	19249
1255	98675	19169
1256	98752	19090
1257	98832	19012
1258	98910	18933
1259	98986	18854
1260	99070	18777
1261	99142	18697
1262	99220	18618
1263	99295	18539
1264	99372	18460
1265	99450	18381
1266	99522	18302
1267	99599	18223
1268	99675	18144
1269	99755	18065
1270	99832	17987
1271	99913	17909
1272	99983	17828
1273	100059	17749
1274	100133	17670
1275	100210	17591
1276	100288	17513
1277	100380	17436
1278	100453	17357
1279	100528	17278
1280	100601	17198
1281	100678	17120
1282	100751	17040
1283	100827	16961
1284	100899	16882
1285	100975	16803
1286	101052	16724
1287	101126	16645
1288	101202	16566
1289	101277	16486
1290	101351	16407
1291	101428	16329
1292	101501	16249
1293	101581	16171
1294	101652	16091
1295	101731	16013
1296	101806	15934
1297	101879	15854
1298	101959	15776
1299	102035	15697
1300	102111	15618
1301	102184	15539
1302	102257	15460
1303	102333	15381
1304	102407	15302
1305	102484	15223
1306	102557	15144
1307	102633	15065
1308	102709	14986
1309	102785	14907
1310	102863	14829
1311	102943	14750
1312	103021	14672
1313	103098	14593
1314	103175	14515
1315	103251	14436
1316	103329	14357
1317	103410	14279
1318	103483	14200
1319	103556	14121
1320	103631	14042
1321	103705	13963
1322	103777	13884
1323	103858	13805
1324	103933	13727
1325	104011	13648
1326	104091	13570
1327	104169	13491
1328	104253	13414
1329	104328	13335
1330	104405	13256
1331	104481	13177
1332	104555	13098
1333	104628	13019
1334	104699	12940
1335	104779	12862
1336	104855	12783
1337	104930	12704
1338	105005	12625
1339	105082	12547
1340	105161	12468
1341	105237	12390
1342	105313	12311
1343	105387	12232
1344	105463	12153
1345	105535	12074
1346	105615	11996
1347	105697	11918
1348	105775	11840
1349	105856	11761
1350	105932	11683
1351	106004	11604
1352	106089	11526
1353	106167	11447
1354	106239	11368
1355	106317	11290
1356	106393	11211
1357	106470	11133
1358	106542	11054
1359	106616	10975
1360	106691	10896
1361	106765	10817
1362	106847	10739
1363	106920	10660
1364	106997	10582
1365	107073	10503
1366	107152	10425
1367	107231	10346
1368	107305	10268
1369	107388	10190
1370	107469	10112
1371	107547	10033
1372	107621	9954
1373	107696	9876
1374	107775	9797
1375	107856	9719
1376	107934	9641
1377	108008	9562
1378	108077	9483
1379	108152	9404
1380	108228	9325
1381	108303	9247
1382	108386	9169
1383	108465	9091
1384	108539	9012
1385	108619	8934
1386	108691	8855
1387	108766	8776
1388	108840	8697
1389	108918	8619
1390	108996	8541
1391	109070	8462
1392	109147	8383
1393	109217	8304
1394	109292	8226
1395	109372	8148
1396	109514	8074
1397	109597	7996
1398	109670	7917
1399	109749	7839
1400	109828	7760
1401	109903	7682
1402	109971	7603
1403	110051	7524
1404	110127	7446
1405	110205	7367
1406	110281	7289
1407	110346	7210
1408	110423	7131
1409	110498	7053
1410	110575	6974
1411	110650	6896
1412	110727	6817
1413	110805	6739
1414	110884	6660
1415	110964	6582
1416	111044	6504
1417	111120	6425
1418	111195	6347
1419	111269	6268
1420	111351	6190
1421	111430	6112
1422	111507	6033
1423	111578	5955
1424	111652	5876
1425	111728	5797
1426	111806	5719
1427	111884	5641
1428	111965	5563
1429	112046	5484
1430	112122	5406
1431	112200	5327
1432	112278	5249
1433	112356	5171
1434	112431	5092
1435	112509	5014
1436	112585	4935
1437	112662	4857
1438	112742	4779
1439	112820	4700
1440	112895	4622
1441	112974	4544
1442	113047	4465
1443	113122	4387
1444	113197	4308
1445	113278	4230
1446	113356	4151
1447	113436	4073
1448	113515	3995
1449	113588	3916
1450	113671	3838
1451	113749	3760
1452	113829	3682
1453	113911	3603
1454	113976	3525
1455	114041	3446
1456	114111	3367
1457	114184	3289
1458	114258	3210
1459	114331	3132
1460	114411	3054
1461	114490	2975
1462	114567	2897
1463	114643	2819
1464	114721	2740
1465	114793	2662
1466	114876	2584
1467	114948	2505
1468	115025	2427
1469	115102	2349
1470	115173	2270
1471	115246	2192
1472	115325	2113
1473	115402	2035
1474	115476	1957
1475	115551	1878
1476	115633	1800
1477	115711	1722
1478	115793	1644
1479	115867	1565
1480	115939	1487
1481	116014	1409
1482	116092	1330
1483	116167	1252
1484	116249	1174
1485	116324	1095
1486	116400	1017
1487	116497	939
1488	116574	861
1489	116644	782
1490	116722	704
1491	116797	626
1492	116876	547
1493	116952	469
1494	117025	391
1495	117123	313
1496	117198	234
1497	117273	156
1498	117351	78
1499	117427	0
