iter	Logloss
0	0.6894652134
1	0.6859469727
2	0.6825125279
3	0.6792700126
4	0.6762736468
5	0.6733088379
6	0.6704082799
7	0.6676460658
8	0.6650217355
9	0.6624642997
10	0.660036656
11	0.6577267369
12	0.6555409668
13	0.6534226493
14	0.6514335868
15	0.6495106236
16	0.6476769182
17	0.6458867257
18	0.6442015485
19	0.6425334473
20	0.64101137
21	0.6395064732
22	0.6380690709
23	0.6366504743
24	0.6353278599
25	0.6340975516
26	0.6328562012
27	0.631706264
28	0.6305676828
29	0.6294993094
30	0.6284324568
31	0.6274182408
32	0.6264595773
33	0.6255309989
34	0.6246647321
35	0.623817899
36	0.6229925223
37	0.6221939244
38	0.6214187221
39	0.6206978516
40	0.6200221401
41	0.6193551549
42	0.6187172573
43	0.6180978655
44	0.6175079729
45	0.616912214
46	0.6163681222
47	0.6158256069
48	0.6152980748
49	0.6147794713
50	0.6142985142
51	0.6138395787
52	0.6133984375
53	0.6129753488
54	0.6125599051
55	0.6121750279
56	0.6117927944
57	0.6114093401
58	0.6110518973
59	0.6107083984
60	0.6103806989
61	0.6100541434
62	0.6097402762
63	0.6094533343
64	0.6091603027
65	0.6088574777
66	0.6085913435
67	0.6083224679
68	0.6080586844
69	0.6078220215
70	0.6075799107
71	0.607338637
72	0.6071248675
73	0.6068937919
74	0.6066640206
75	0.6064492397
76	0.6062646694
77	0.6060634975
78	0.6058832938
79	0.6057001395
80	0.6055205357
81	0.6053461496
82	0.6051573033
83	0.6050022531
84	0.6048469029
85	0.6046891811
86	0.6045348633
87	0.6043830357
88	0.6042493792
89	0.604123863
90	0.6039777623
91	0.6038316616
92	0.6037063825
93	0.603578683
94	0.6034576451
95	0.6033306292
96	0.6031995884
97	0.6030920689
98	0.6029969029
99	0.6028797782
100	0.6027751604
101	0.6026592983
102	0.6025498117
103	0.6024431641
104	0.6023523158
105	0.6022660086
106	0.6021659598
107	0.6020491978
108	0.6019652065
109	0.6018829032
110	0.6017884626
111	0.6017041364
112	0.6015906669
113	0.6014873954
114	0.6013987932
115	0.601286077
116	0.6012108398
117	0.6011384347
118	0.6010276855
119	0.6009255999
120	0.600842034
121	0.6007742188
122	0.600706808
123	0.600643464
124	0.6005806013
125	0.6004732352
126	0.6003816895
127	0.6003188756
128	0.6002660993
129	0.6002020299
130	0.6001453265
131	0.6000799665
132	0.6000128209
133	0.5999424037
134	0.5998837821
135	0.5998161272
136	0.5997244071
137	0.5996761579
138	0.5996172991
139	0.5995677525
140	0.5994887556
141	0.5994445522
142	0.5993818569
143	0.5993320313
144	0.5992864886
145	0.5992319266
146	0.5991777902
147	0.5991399693
148	0.5990985003
149	0.5990604283
150	0.5989920201
151	0.5989435407
152	0.5988854701
153	0.5988185338
154	0.59875851
155	0.5987114607
156	0.5986249372
157	0.5985743234
158	0.5985015346
159	0.5984655483
160	0.5984289481
161	0.5983730887
162	0.5983089146
163	0.5982684361
164	0.5981875
165	0.598117034
